origin,destination,state_code,base_travel_time_hours,od_weight,weighted_base_hours
28_5803,28_3094,28,64.81117066818064,1667152.038865466,108050075.32071503
29_5473,29_1010,29,42.16760728245541,2510489.814380532,105861348.57940266
55_0902,55_A902,55,37.00416371444054,2823938.1912060827,104497471.14685097
55_0902,55_A901,55,37.003609701366244,2823938.1912060827,104495906.64817205
55_0902,55_A903,55,36.99561431045049,2823938.1912060827,104473328.15841143
55_0908,55_A902,55,36.99486705198703,2823936.357699108,104471150.11635098
55_0908,55_A901,55,36.994313038912736,2823936.357699108,104469585.61868785
55_0908,55_A903,55,36.986317647996984,2823936.357699108,104447007.14358683
55_0902,55_A907,55,36.98358811555732,2823938.1912060827,104439366.9273577
55_0908,55_A907,55,36.97429145310381,2823936.357699108,104413045.93458323
55_0902,55_A908,55,36.96817094696485,2823938.1912060827,104395829.79616916
55_0901,55_A902,55,36.96378879604631,2823937.89666689,104383443.98554617
55_0901,55_A901,55,36.963234782972016,2823937.89666689,104381879.48703042
55_0902,55_A909,55,36.95957942715589,2823938.1912060827,104371567.87526014
55_0908,55_A908,55,36.95887428451134,2823936.357699108,104369508.83166216
55_0901,55_A903,55,36.955239392056264,2823937.89666689,104359300.99962476
55_0908,55_A909,55,36.95028276470238,2823936.357699108,104345246.92650576
55_0907,55_A902,55,36.94327587624466,2823935.577169673,104325431.08412144
55_0901,55_A907,55,36.94321319716309,2823937.89666689,104325339.77211323
55_0907,55_A901,55,36.94272186317037,2823935.577169673,104323866.58689071
55_0907,55_A903,55,36.93472647225462,2823935.577169673,104301288.11803034
55_0901,55_A908,55,36.92779602857062,2823937.89666689,104281802.64546564
55_0907,55_A907,55,36.92270027736144,2823935.577169673,104267326.91841353
55_0901,55_A909,55,36.91920450876166,2823937.89666689,104257540.72708715
55_0903,55_A902,55,36.91677254251216,2823938.1912060827,104250683.87886818
55_0903,55_A901,55,36.91621852943787,2823938.1912060827,104249119.38018925
55_0903,55_A903,55,36.90822313852212,2823938.1912060827,104226540.89042863
55_0907,55_A908,55,36.90728310876897,2823935.577169673,104223789.82752603
55_0907,55_A909,55,36.89869158896001,2823935.577169673,104199527.92907555
55_0903,55_A907,55,36.896196943628944,2823938.1912060827,104192579.65937492
55_0903,55_A908,55,36.88077977503647,2823938.1912060827,104149042.52818638
55_0903,55_A909,55,36.87218825522751,2823938.1912060827,104124780.60727735
55_0902,55_B902,55,37.001619172013946,2748486.8658464868,101698464.30933389
55_0902,55_B901,55,37.001409747933636,2748486.8658464868,101697888.70999976
