source_node,target_node,conflict_count,total_overlap_days,max_overlap_days,edge_type
55_0117,55_C902,1,1,1,node_project_conflict
55_0117,55_C959,1,1,1,node_project_conflict
55_0118,55_0119,1,1,1,node_project_conflict
55_0118,55_0120,1,1,1,node_project_conflict
55_0118,55_0121,1,1,1,node_project_conflict
55_0118,55_0122,1,1,1,node_project_conflict
55_0119,55_0120,1,1,1,node_project_conflict
55_0119,55_0121,1,1,1,node_project_conflict
55_0119,55_0122,1,1,1,node_project_conflict
55_0119,55_0123,1,1,1,node_project_conflict
55_0119,55_0124,1,1,1,node_project_conflict
55_0120,55_0121,1,1,1,node_project_conflict
55_0120,55_0122,1,1,1,node_project_conflict
55_0120,55_0123,1,1,1,node_project_conflict
55_0120,55_0124,1,1,1,node_project_conflict
55_0121,55_0122,1,1,1,node_project_conflict
55_0121,55_0123,1,1,1,node_project_conflict
55_0121,55_0124,1,1,1,node_project_conflict
55_0122,55_0124,1,1,1,node_project_conflict
55_0123,55_0124,1,1,1,node_project_conflict
55_0123,55_C901,1,1,1,node_project_conflict
55_0124,55_C901,1,1,1,node_project_conflict
55_0213,55_0214,1,1,1,node_project_conflict
55_0213,55_0216,1,1,1,node_project_conflict
55_0213,55_0217,1,1,1,node_project_conflict
55_0213,55_0220,1,1,1,node_project_conflict
55_0213,55_0222,1,1,1,node_project_conflict
55_0213,55_0223,1,1,1,node_project_conflict
55_0213,55_0261,1,1,1,node_project_conflict
55_0213,55_0266,1,1,1,node_project_conflict
55_0214,55_0215,1,1,1,node_project_conflict
55_0214,55_0218,1,1,1,node_project_conflict
55_0214,55_0219,1,1,1,node_project_conflict
55_0214,55_0222,1,1,1,node_project_conflict
55_0214,55_0223,1,1,1,node_project_conflict
55_0214,55_0261,1,1,1,node_project_conflict
55_0214,55_0262,1,1,1,node_project_conflict
55_0215,55_0218,1,1,1,node_project_conflict
55_0215,55_0219,1,1,1,node_project_conflict
55_0215,55_0262,1,1,1,node_project_conflict
55_0215,55_C902,1,1,1,node_project_conflict
55_0215,55_C903,1,1,1,node_project_conflict
55_0215,55_C959,1,1,1,node_project_conflict
55_0215,55_C960,1,1,1,node_project_conflict
55_0216,55_0217,1,1,1,node_project_conflict
55_0216,55_0220,1,1,1,node_project_conflict
55_0216,55_0221,1,1,1,node_project_conflict
55_0216,55_0224,1,1,1,node_project_conflict
55_0216,55_0259,1,1,1,node_project_conflict
55_0216,55_0260,1,1,1,node_project_conflict
55_0216,55_0263,1,1,1,node_project_conflict
55_0216,55_0264,1,1,1,node_project_conflict
