source,target,edge_type,distance_km,component_rank,distance_bin,topology_level,osm_path_km,detour_ratio,osm_connected,osm_supported,same_osm_edge,src_osm_edge,dst_osm_edge,src_snap_m,dst_snap_m,topology_status,component_size
55_C959,55_C960,same_route,0.9054938981892467,11,0-1 km,supported,0.0,0.0,1,1,1,"(147101059, 147128637, 0)","(147101059, 147128637, 0)",4.26888153660437,2.753556442789175,same_osm_edge,39
4_1001,4_B959,spatial,1.7590779493139157,14,1-5 km,supported,1.544820852230077,0.8781992025041276,1,1,0,"(1906415073, 4851604069, 0)","(4851603612, 4851603582, 0)",5.2873121258006375,7.046744828922823,short_connected,35
4_1001,4_B960,spatial,4.251625561799923,14,1-5 km,supported,3.144673437064073,0.7396402602614839,1,1,0,"(1906415073, 4851604069, 0)","(312682357, 312682208, 0)",5.2873121258006375,3.301537295557061,short_connected,35
4_1001,4_B961,spatial,5.8173022869157025,14,5-10 km,supported,5.536288690110067,0.9516934855804738,1,1,0,"(1906415073, 4851604069, 0)","(312682199, 312682099, 0)",5.2873121258006375,2.2696118005079686,short_connected,35
4_1001,4_B903,spatial,7.335528193162726,14,5-10 km,supported,5.536288690110067,0.7547225699807564,1,1,0,"(1906415073, 4851604069, 0)","(312682199, 312682099, 0)",5.2873121258006375,0.693580340877027,short_connected,35
4_1001,4_B902,spatial,8.90669019504658,14,5-10 km,supported,5.536288690110067,0.6215876570164134,1,1,0,"(1906415073, 4851604069, 0)","(312682199, 312682099, 0)",5.2873121258006375,0.529540860105553,short_connected,35
4_1001,4_B901,spatial,10.674277280926557,14,10-25 km,supported,9.267476332401502,0.8682064451296565,1,1,0,"(1906415073, 4851604069, 0)","(312682099, 312682094, 0)",5.2873121258006375,1.85062729696087,short_connected,35
4_1001,4_7614,spatial,11.61170309797594,14,10-25 km,supported,14.707754750405458,1.2666320027567013,1,1,0,"(1906415073, 4851604069, 0)","(7935950258, 321836342, 0)",5.2873121258006375,3.4619360466677613,short_connected,35
4_1001,4_1007,spatial,12.498791485897025,14,10-25 km,supported,10.736348008052854,0.8589908888525086,1,1,0,"(1906415073, 4851604069, 0)","(312682094, 312681916, 0)",5.2873121258006375,0.7217018713720237,short_connected,35
4_0260,4_1006,spatial,2.884117948456188,14,1-5 km,weakly_connected,11.370277560958929,3.9423760623400352,1,0,0,"(335616865, 315694623, 0)","(312681310, 315694614, 0)",0.39976885254738326,1.4377278087741163,long_connected,35
4_0268,4_1006,spatial,3.107970366005077,14,1-5 km,weakly_connected,11.370277560958929,3.6584253457905573,1,0,0,"(335616865, 315694623, 0)","(312681310, 315694614, 0)",0.04488043750656292,1.4377278087741163,long_connected,35
4_0267,4_1006,spatial,3.3204064257359143,14,1-5 km,weakly_connected,11.370277560958929,3.4243631962731462,1,0,0,"(335616865, 315694623, 0)","(312681310, 315694614, 0)",0.5147092817445679,1.4377278087741163,long_connected,35
4_1006,4_B964,spatial,3.464232465528319,14,1-5 km,supported,0.0,0.0,1,1,0,"(312681310, 315694614, 0)","(312681337, 312681310, 0)",1.4377278087741163,1.1545579732682993,short_connected,35
4_0266,4_1006,spatial,3.541992252155542,14,1-5 km,weakly_connected,11.370277560958929,3.210136203442948,1,0,0,"(335616865, 315694623, 0)","(312681310, 315694614, 0)",2.32400191775678,1.4377278087741163,long_connected,35
