source_project_id,target_project_id,source_node,target_node,overlap_start,overlap_end,edge_type
36_4017_19970601_3_1,42_1597_19990517_5_1,36_4017,42_1597,1999-05-17,1999-06-01,project_conflict
36_4017_19880601_1_1,42_B330_19880801_1_1,36_4017,42_B330,1988-08-01,1999-06-01,project_conflict
36_4017_19880601_1_1,42_B330_19901001_2_1,36_4017,42_B330,1990-10-01,1999-06-01,project_conflict
36_4017_19880601_1_1,42_B330_19930401_3_1,36_4017,42_B330,1993-04-01,1999-06-01,project_conflict
36_4017_19880601_1_1,42_B330_19950601_4_1,36_4017,42_B330,1995-06-01,1999-06-01,project_conflict
36_4017_19880601_1_1,42_B330_19970601_5_1,36_4017,42_B330,1997-06-01,1999-06-01,project_conflict
36_4017_19880601_1_1,42_B330_19990517_6_1,36_4017,42_B330,1999-05-17,1999-06-01,project_conflict
36_4017_19960725_2_1,42_B330_19880801_1_1,36_4017,42_B330,1996-07-25,1999-06-01,project_conflict
36_4017_19960725_2_1,42_B330_19901001_2_1,36_4017,42_B330,1996-07-25,1999-06-01,project_conflict
36_4017_19960725_2_1,42_B330_19930401_3_1,36_4017,42_B330,1996-07-25,1999-06-01,project_conflict
36_4017_19960725_2_1,42_B330_19950601_4_1,36_4017,42_B330,1996-07-25,1999-06-01,project_conflict
36_4017_19960725_2_1,42_B330_19970601_5_1,36_4017,42_B330,1997-06-01,1999-06-01,project_conflict
36_4017_19960725_2_1,42_B330_19990517_6_1,36_4017,42_B330,1999-05-17,1999-06-01,project_conflict
36_4017_19970601_3_1,42_B330_19880801_1_1,36_4017,42_B330,1997-06-01,1999-06-01,project_conflict
36_4017_19970601_3_1,42_B330_19901001_2_1,36_4017,42_B330,1997-06-01,1999-06-01,project_conflict
36_4017_19970601_3_1,42_B330_19930401_3_1,36_4017,42_B330,1997-06-01,1999-06-01,project_conflict
36_4017_19970601_3_1,42_B330_19950601_4_1,36_4017,42_B330,1997-06-01,1999-06-01,project_conflict
36_4017_19970601_3_1,42_B330_19970601_5_1,36_4017,42_B330,1997-06-01,1999-06-01,project_conflict
36_4017_19970601_3_1,42_B330_19990517_6_1,36_4017,42_B330,1999-05-17,1999-06-01,project_conflict
36_4017_19880601_1_1,42_B350_19880801_1_1,36_4017,42_B350,1988-08-01,1999-06-01,project_conflict
36_4017_19880601_1_1,42_B350_19901001_2_1,36_4017,42_B350,1990-10-01,1999-06-01,project_conflict
36_4017_19880601_1_1,42_B350_19920501_3_1,36_4017,42_B350,1992-05-01,1999-06-01,project_conflict
