source,target,edge_role,distance_km,diversion_potential,speed_mph,travel_time_hours,capacity_proxy,demand_proxy
32_A461,32_A464,spatial,0.2122359856142104,0.847744992652849,55.0,0.002997219436287976,2.0,713827.36
32_A462,32_A463,spatial,0.0693788699899457,0.8492628495063568,55.0,0.0009797758707119025,2.0,713827.36
32_A462,32_A464,spatial,0.1420376542288943,0.848490849923818,55.0,0.0020058710435347056,2.0,713827.36
32_A463,32_A464,spatial,0.0726604188568673,0.8492279830496458,55.0,0.0010261182570730195,2.0,713827.36
32_AA01,32_AA02,spatial,1.3417911747366078,0.821315486732534,70.0,0.01488843668319009,2.0,1434645.24
32_AA01,32_AA03,spatial,0.5183280268136367,0.8299137379035604,70.0,0.005751337580419354,2.0,1434645.24
32_AA01,32_AA59,spatial,1.951505198447907,0.8149491128011807,70.0,0.021653787959748216,2.0,1434645.24
32_AA01,32_AA62,spatial,1.4036066747916789,0.8206700356311983,70.0,0.015574337869557872,2.0,1434645.24
32_AA02,32_AA03,spatial,0.8234631509032033,0.8412507040216535,70.0,0.009137099135839218,2.0,1434645.24
32_AA02,32_AA59,spatial,0.6097145271246075,0.843521783149301,70.0,0.006765356862402859,2.0,1434645.24
32_AA02,32_AA61,spatial,3.355679693915518,0.8143459032521476,70.0,0.037234426334436986,2.0,1434645.24
32_AA02,32_AA62,spatial,2.7453978199734936,0.8208301481627817,70.0,0.0304627742248097,2.0,1434645.24
32_AA03,32_AA59,spatial,1.4331772855643703,0.8347724913408785,70.0,0.015902451643490613,2.0,1434645.24
32_AA03,32_AA60,spatial,3.1441661663744345,0.8165932344822716,70.0,0.03488748455860382,2.0,1434645.24
32_AA03,32_AA61,spatial,2.5322169598903597,0.8230951948011649,70.0,0.02809733182425226,2.0,1434645.24
32_AA03,32_AA62,spatial,1.9219346746264916,0.8295794440820935,70.0,0.021325675150621767,2.0,1434645.24
32_AA59,32_AA60,spatial,4.5773433568999975,0.8013657268329375,70.0,0.05078993514754936,2.0,1434645.24
32_AA59,32_AA61,spatial,3.9653941209865287,0.8078676874645181,70.0,0.04399978208665097,2.0,1434645.24
32_AA59,32_AA62,spatial,3.3551118584027524,0.8143519365044708,70.0,0.03722812566467745,2.0,1434645.24
32_AA59,6_9107,spatial,63.0120989139794,0.054196947824898,62.5,0.7830800068845539,2.0,1133521.1381688993
32_AA60,32_AA61,spatial,0.6119552135076938,0.8434979758564808,70.0,0.00679021938793558,2.0,1434645.24
32_AA60,32_AA62,spatial,1.2222315002236646,0.8370137903101236,70.0,0.013561809502028167,2.0,1434645.24
32_AA60,6_9107,spatial,64.25386751521778,0.054196947824898,62.5,0.7985120299652998,2.0,1133521.1381688993
32_AA61,32_AA62,spatial,0.6102864295932353,0.8435157066855719,70.0,0.006771702658867647,2.0,1434645.24
