node_id,number_of_years_in_panel,number_of_years_with_monthlyagg_missing,number_of_years_with_all_monthlyagg_missing,has_MERRA_ID_mapping,MERRA_ID,percent_missing
1_0606,37,0,0,True,137239,0.0
1_0607,37,0,0,True,137239,0.0
1_0608,37,0,0,True,137239,0.0
1_0661,37,0,0,True,137239,0.0
1_0662,37,0,0,True,137239,0.0
1_0663,37,0,0,True,137239,0.0
1_1001,37,0,0,True,135513,0.0
1_1011,37,0,0,True,138388,0.0
1_1019,37,0,0,True,134356,0.0
1_1021,37,0,0,True,135511,0.0
1_3028,37,0,0,True,136662,0.0
1_3998,37,0,0,True,135508,0.0
1_4007,37,0,0,True,136662,0.0
1_4073,37,0,0,True,138392,0.0
1_4084,37,0,0,True,136662,0.0
1_4125,37,0,0,True,135511,0.0
1_4126,37,0,0,True,137238,0.0
1_4127,37,0,0,True,138389,0.0
1_4129,37,0,0,True,136087,0.0
1_4155,37,0,0,True,133784,0.0
1_5008,37,0,0,True,136664,0.0
1_6012,37,0,0,True,136085,0.0
1_6019,37,0,0,True,133781,0.0
1_A310,37,0,0,True,135511,0.0
1_A320,37,0,0,True,135511,0.0
1_A330,37,0,0,True,135511,0.0
1_A340,37,0,0,True,135511,0.0
1_A350,37,0,0,True,135511,0.0
1_B310,37,0,0,True,134356,0.0
1_B320,37,0,0,True,134356,0.0
1_B330,37,0,0,True,134356,0.0
1_B340,37,0,0,True,134356,0.0
1_B350,37,0,0,True,134356,0.0
1_C310,37,0,0,True,133784,0.0
1_C320,37,0,0,True,133784,0.0
1_C330,37,0,0,True,133784,0.0
1_C340,37,0,0,True,133784,0.0
1_C350,37,0,0,True,133784,0.0
20_0101,37,0,0,True,141250,0.0
20_0102,37,0,0,True,141250,0.0
20_0103,37,0,0,True,141250,0.0
20_0104,37,0,0,True,141250,0.0
20_0105,37,0,0,True,141250,0.0
20_0106,37,0,0,True,141250,0.0
20_0107,37,0,0,True,141250,0.0
20_0108,37,0,0,True,141250,0.0
20_0109,37,0,0,True,141250,0.0
20_0110,37,0,0,True,141250,0.0
20_0111,37,0,0,True,141250,0.0
20_0112,37,0,0,True,141250,0.0
20_0159,37,0,0,True,141250,0.0
20_0160,37,0,0,True,141250,0.0
20_0161,37,0,0,True,141250,0.0
20_0162,37,0,0,True,141250,0.0
20_0163,37,0,0,True,141250,0.0
20_0164,37,0,0,True,141250,0.0
20_0201,37,0,0,True,142982,0.0
20_0202,37,0,0,True,142982,0.0
20_0203,37,0,0,True,142982,0.0
20_0204,37,0,0,True,142982,0.0
20_0205,37,0,0,True,142982,0.0
20_0206,37,0,0,True,142982,0.0
20_0207,37,0,0,True,142982,0.0
20_0208,37,0,0,True,142982,0.0
20_0209,37,0,0,True,142982,0.0
20_0210,37,0,0,True,142982,0.0
20_0211,37,0,0,True,142982,0.0
20_0212,37,0,0,True,142982,0.0
20_0259,37,0,0,True,142982,0.0
20_0901,37,0,0,True,141250,0.0
20_0902,37,0,0,True,141250,0.0
20_0903,37,0,0,True,141250,0.0
20_1005,37,0,0,True,142409,0.0
20_1006,37,0,0,True,140680,0.0
20_1009,37,0,0,True,141827,0.0
20_1010,37,0,0,True,141249,0.0
20_3013,37,0,0,True,142985,0.0
20_3015,37,0,0,True,141824,0.0
20_3060,37,0,0,True,142985,0.0
20_4016,37,0,0,True,142984,0.0
20_4052,37,0,0,True,143561,0.0
20_4053,37,0,0,True,142985,0.0
20_4054,37,0,0,True,142982,0.0
20_4063,37,0,0,True,142985,0.0
20_4067,37,0,0,True,141829,0.0
20_6026,37,0,0,True,141828,0.0
20_7073,37,0,0,True,142981,0.0
20_7085,37,0,0,True,144134,0.0
20_9037,37,0,0,True,142984,0.0
20_A310,37,0,0,True,142409,0.0
20_A320,37,0,0,True,142409,0.0
20_A330,37,0,0,True,142409,0.0
20_A340,37,0,0,True,142409,0.0
20_A350,37,0,0,True,142409,0.0
20_A410,37,0,0,True,142982,0.0
20_A411,37,0,0,True,142982,0.0
20_A412,37,0,0,True,142982,0.0
20_A430,37,0,0,True,142982,0.0
20_B310,37,0,0,True,141249,0.0
20_B320,37,0,0,True,141249,0.0
20_B330,37,0,0,True,141249,0.0
20_B340,37,0,0,True,141249,0.0
20_B350,37,0,0,True,141249,0.0
20_B410,37,0,0,True,142984,0.0
20_B430,37,0,0,True,142984,0.0
21_1010,37,0,0,True,141275,0.0
21_1014,37,0,0,True,141277,0.0
21_1034,37,0,0,True,140695,0.0
21_3016,37,0,0,True,141848,0.0
21_4025,37,0,0,True,141850,0.0
21_6040,37,0,0,True,141850,0.0
21_6043,37,0,0,True,140699,0.0
21_A310,37,0,0,True,141275,0.0
21_A320,37,0,0,True,141275,0.0
21_A330,37,0,0,True,141275,0.0
21_A340,37,0,0,True,141275,0.0
21_A350,37,0,0,True,141275,0.0
21_A410,37,0,0,True,141848,0.0
21_A430,37,0,0,True,141848,0.0
21_B310,37,0,0,True,140695,0.0
21_B320,37,0,0,True,140695,0.0
21_B330,37,0,0,True,140695,0.0
21_B340,37,0,0,True,140695,0.0
21_B350,37,0,0,True,140695,0.0
22_0113,37,0,0,True,133196,0.0
22_0114,37,0,0,True,133196,0.0
22_0115,37,0,0,True,133196,0.0
