source,target,edge_type,distance_km,overlap_change_years,corr_change,overlap_level_years,corr_level
30_0121,30_0902,spatial,0.3135520085497195,10,0.5968771838726199,11,0.8108382991340453
30_0121,30_0903,spatial,0.6447486131562186,10,0.024611913364226027,11,0.60287364446185
30_0121,30_0123,spatial,0.8434045208430219,15,0.6641734784084574,16,0.5378108744336664
30_0121,30_0901,spatial,0.9830666967737928,10,0.3102684903717207,11,0.9031847230934618
30_0121,30_0124,spatial,1.066597596730299,15,0.7463837243252723,16,0.7817953113086139
30_0122,30_0902,spatial,0.5315489968699959,10,0.8122815190509247,11,0.8107336070907413
30_0122,30_0123,spatial,0.6254121705543803,15,0.7967542472053122,16,0.6643308198205808
30_0122,30_0124,spatial,0.8486023227636963,15,0.7532741736891259,16,0.8157542646531561
30_0122,30_0903,spatial,0.8627479073961224,10,0.1735436882350976,11,0.4932110272297838
30_0114,30_0122,spatial,1.0567362237927311,15,0.733203244456067,16,0.7444887290572819
30_0123,30_0124,spatial,0.2231961187560104,15,0.932479454438988,16,0.8714603991880744
30_0502,30_0509,spatial,0.1804931710719934,7,0.9283992769472734,8,0.997332049645924
30_0502,30_0561,spatial,0.1846867042006012,7,0.9932025208046391,8,0.9516874348954789
30_0502,30_0508,spatial,0.3611190838851977,7,0.9579036414443785,8,0.9377947654265782
30_0502,30_0560,spatial,0.3674476107192548,6,0.9938815828249342,7,0.999490079252381
30_0502,30_0503,spatial,0.5432267037858088,7,0.9534194340779141,8,0.938675386421901
30_0502,30_0504,spatial,0.7601013528566861,7,,8,-0.03720628657456384
30_0502,30_0507,spatial,0.948569303901018,7,,8,-0.03720628657456383
30_0502,30_0506,spatial,1.1266538595569495,7,0.7494786438652048,8,-0.007840909153280201
30_0503,30_0508,spatial,0.1821195699189273,8,0.8751682967200513,9,0.9441541590756393
30_0503,30_0504,spatial,0.2169227108447033,8,-0.04385434683664497,9,0.23403393750546916
30_0503,30_0509,spatial,0.3628603435879936,8,0.8683943173301178,9,0.8852252835377019
30_0503,30_0507,spatial,0.4053966742077545,8,-0.043854346836644964,9,0.23403393750546914
30_0503,30_0506,spatial,0.5834899504964899,8,0.25783901374683477,9,0.26572599397912405
30_0503,30_0561,spatial,0.7269912087212222,8,0.9494691022648443,9,0.9378417119782667
30_0503,30_0505,spatial,0.7516554825328415,8,0.5584030482175253,9,0.4078920313362457
30_0504,30_0507,spatial,0.1884765312404476,8,1.0,9,0.9999999999999999
30_0504,30_0506,spatial,0.3665696967125263,8,0.9421515864004711,9,0.9977522636223871
