source,target,distance_km,suspicious_locality,needs_real_map_check,source_route_key,target_route_key,source_ROUTE_NO,target_ROUTE_NO,source_ROUTE_SIGNING,target_ROUTE_SIGNING,same_route_number,same_route_signing,source_latitude,source_longitude,target_latitude,target_longitude,source_functional_class,target_functional_class
56_B330,56_B350,0.2424834523607436,very_local,False,4_28,4_28,28,28,4,4,True,True,41.97856903076172,-109.66083,41.9776496887207,-109.66349,7,7
49_0803,49_0804,0.2424632949853378,very_local,False,4_35,4_35,35,35,4,4,True,True,40.55908966064453,-111.12656,40.55910873413086,-111.12369,6,6
23_0506,23_0507,0.2423384259878774,very_local,False,2_95,2_95,95,95,2,2,True,True,45.0642204284668,-68.68906,45.06637954711914,-68.68948,1,1
1_C310,1_C320,0.2411836506128409,very_local,False,3_84,3_84,84,84,3,3,True,True,31.24275016784668,-85.56616,31.242910385131836,-85.56363,2,2
36_0801,36_0802,0.2407592192562325,very_local,False,4_947A,4_947A,947A ,947A ,4,4,True,True,43.355281829833984,-77.92666,43.35551834106445,-77.9237,6,6
20_1005,20_A310,0.2406630346536931,very_local,False,4_68,4_68,68,68,4,4,True,True,38.622928619384766,-95.24603,38.62295913696289,-95.24326,6,6
6_A362,6_A363,0.2404998509283035,very_local,False,4_32,4_32,32,32,4,4,True,True,39.802791595458984,-121.71641,39.800758361816406,-121.71737,2,2
5_3059,5_C410,0.2396755607189583,very_local,False,2_540,2_540,540,540,2,2,True,True,35.29774856567383,-94.41673,35.29927062988281,-94.41486,11,11
38_0260,38_0261,0.2394460167003015,very_local,False,2_94,2_94,94,94,2,2,True,True,46.874900817871094,-97.20097,46.8755989074707,-97.19799,1,1
48_E420,48_E430,0.2391684198687429,very_local,False,3_96,3_96,96,96,3,3,True,True,31.03329086303711,-93.97789,31.03537940979004,-93.97849,2,2
48_0120,48_0121,0.239001788561701,very_local,False,3_281,3_281,281,281,3,3,True,True,26.70648956298828,-98.11073,26.70861053466797,-98.11034,2,2
6_A412,6_A420,0.2376862820107195,very_local,False,2_8,2_8,8,8,2,2,True,True,32.72196960449219,-116.45107,32.72071838378906,-116.45313,1,1
53_0206,53_0207,0.2375070693021454,very_local,False,4_395,4_395,395,395,4,4,True,True,47.077239990234375,-118.41034,47.079368591308594,-118.4106,12,12
48_A508,48_A509,0.2373845531495846,very_local,False,3_175,3_175,175,175,3,3,True,True,32.61363983154297,-96.40928,32.613990783691406,-96.41178,2,2
48_G330,48_G350,0.2370017246804479,very_local,False,3_322,3_322,322,322,3,3,True,True,32.20235061645508,-94.80354,32.20446014404297,-94.80318,6,6
4_0503,4_0504,0.2366124325940665,very_local,False,2_8,2_8,8,8,2,2,True,True,32.8290901184082,-112.00134,32.82918167114258,-112.00387,1,1
40_A340,40_A350,0.2360403565249189,very_local,False,3_62,3_62,62,62,3,3,True,True,34.637550354003906,-99.27875,34.6375617980957,-99.27617,2,2
23_0501,23_0502,0.2355976576433067,very_local,False,2_95,2_95,95,95,2,2,True,True,45.05393981933594,-68.68727,45.05604934692383,-68.68755,1,1
49_B352,49_B361,0.2340689160627473,very_local,False,3_89,3_89,89,89,3,3,True,True,38.57164001464844,-112.25745,38.57352828979492,-112.25864,6,6
4_0607,4_0608,0.2338690610936108,very_local,False,2_40,2_40,40,40,2,2,True,True,35.217350006103516,-111.55696,35.21773910522461,-111.55949,1,1
6_0603,6_3005,0.2338112526530591,very_local,False,2_5,2_5,5,5,2,2,True,True,41.35826110839844,-122.35965,41.35990905761719,-122.36139,1,1
49_C443,49_C451,0.2327656835120991,very_local,False,2_15,2_15,15,15,2,2,True,True,41.871978759765625,-112.16959,41.87403869628906,-112.17009,1,1
19_0607,19_0608,0.2325425208652591,very_local,False,2_35,2_35,35,35,2,2,True,True,41.78205108642578,-93.57086,41.77996063232422,-93.57094,1,1
40_C330,40_C350,0.2318357620999396,very_local,False,3_60,3_60,60,60,3,3,True,True,36.68825912475586,-97.26268,36.68825149536133,-97.26008,2,2
31_0902,31_0903,0.2315995405118144,very_local,False,3_81,3_81,81,81,3,3,True,True,40.02888107299805,-97.61446,40.026798248291016,-97.61446,2,2
1_0109,1_0163,0.2315216099399732,very_local,False,3_280,3_280,280,280,3,3,True,True,32.60832977294922,-85.25406,32.6096305847168,-85.25599,2,2
51_0117,51_0118,0.2299028405813248,very_local,False,4_29,4_29,29,29,4,4,True,True,36.62916946411133,-79.36507,36.62710189819336,-79.36507,2,2
6_0506,6_0507,0.2296404521392205,very_local,False,2_40,2_40,40,40,2,2,True,True,34.812801361083984,-116.59136,34.81237030029297,-116.5889,1,1
17_1003,17_A310,0.2295404565181579,very_local,False,3_50,3_50,50,50,3,3,True,True,38.61603164672851,-89.63421,38.616111755371094,-89.63685,2,2
26_D340,26_D351,0.2295184729073059,very_local,False,4_57,4_57,57,57,4,4,True,True,43.17927169799805,-83.63428,43.179229736328125,-83.63711,6,6
48_A505,48_A506,0.2294764411214833,very_local,False,3_175,3_175,175,175,3,3,True,True,32.613399505615234,-96.3972,32.61341094970703,-96.39965,2,2
4_0606,4_0607,0.2290413411432126,very_local,False,2_40,2_40,40,40,2,2,True,True,35.21683120727539,-111.55452,35.217350006103516,-111.55696,1,1
18_1028,18_A310,0.2289591195990267,very_local,False,2_64,2_64,64,64,2,2,True,True,38.1963996887207,-87.01603,38.196388244628906,-87.01341,1,1
6_0508,6_0509,0.2289292147513442,very_local,False,2_40,2_40,40,40,2,2,True,True,34.81195831298828,-116.58662,34.811519622802734,-116.58417,1,1
8_A410,8_A411,0.2287965227096383,very_local,False,3_287,3_287,287,287,3,3,True,True,37.05799102783203,-102.56276,37.05681991577149,-102.56064,2,2
42_A411,42_A430,0.2287590776682521,very_local,False,2_180,2_180,180,180,2,2,True,True,41.203521728515625,-76.76858,41.20146942138672,-76.76877,1,1
24_A320,24_A330,0.2285995826202361,very_local,False,4_90,4_90,90,90,4,4,True,True,38.373199462890625,-75.25406,38.3738899230957,-75.25159,2,2
4_A448,4_A450,0.2284106476700277,very_local,False,4_360,4_360,360,360,4,4,True,True,33.38594055175781,-111.80562,33.38595962524414,-111.80316,14,14
26_1012,26_B310,0.2278278804745305,very_local,False,3_131,3_131,131,131,3,3,True,True,43.7115592956543,-85.53063,43.709529876708984,-85.53024,2,2
47_C330,47_C350,0.2278037415204858,very_local,False,2_75,2_75,75,75,2,2,True,True,36.188690185546875,-84.10091,36.18994140625,-84.10292,1,1
8_A444,8_A445,0.2273707212162523,very_local,False,3_287,3_287,287,287,3,3,True,True,37.05158996582031,-102.5511,37.05044174194336,-102.54898,2,2
8_A441,8_A442,0.2273444433663386,very_local,False,3_287,3_287,287,287,3,3,True,True,37.057411193847656,-102.56169,37.056251525878906,-102.55958,2,2
35_0101,35_0102,0.2271992482326296,very_local,False,2_25,2_25,25,25,2,2,True,True,32.67795944213867,-107.07014,32.677799224853516,-107.07256,1,1
1_0107,1_0108,0.2271640761900098,very_local,False,3_280,3_280,280,280,3,3,True,True,32.605960845947266,-85.25062,32.607261657714844,-85.25249,2,2
4_0263,4_0264,0.2271007534788669,very_local,False,2_10,2_10,10,10,2,2,True,True,33.4451904296875,-112.7046,33.44464874267578,-112.70224,1,1
4_1021,4_B320,0.2264380645779268,very_local,False,2_40,2_40,40,40,2,2,True,True,35.160831451416016,-113.68087,35.16056823730469,-113.68334,1,1
48_F340,48_F350,0.2250908243230544,very_local,False,4_19,4_19,19,19,4,4,True,True,32.630619049072266,-95.8461,32.63262176513672,-95.84575,6,6
39_4018,39_A410,0.2239645583622756,very_local,False,2_675,2_675,675,675,2,2,True,True,39.832550048828125,-83.99618,39.83393859863281,-83.99428,11,11
30_0123,30_0124,0.2231961187563334,very_local,False,2_15,2_15,15,15,2,2,True,True,47.40093994140625,-111.54957,47.39939880371094,-111.55147,1,1
12_A330,12_A350,0.2219947462887217,very_local,False,4_200,4_200,200,200,4,4,True,True,30.62343978881836,-81.63577,30.622859954833984,-81.63799,6,6
28_0502,28_0503,0.221680771282382,very_local,False,2_55,2_55,55,55,2,2,True,True,32.85908889770508,-90.03977,32.86056900024414,-90.03818,1,1
26_B340,26_B350,0.2214732966268663,very_local,False,3_131,3_131,131,131,3,3,True,True,43.70381164550781,-85.52914,43.70185852050781,-85.5286,2,2
46_0661,46_0662,0.2207770944735363,very_local,False,3_12,3_12,12,12,3,3,True,True,45.458011627197266,-98.12469,45.457969665527344,-98.12186,2,2
55_0264,55_0265,0.2200989595610365,very_local,False,4_29,4_29,29,29,4,4,True,True,44.82701110839844,-89.24004,44.826961517333984,-89.23725,14,14
8_0213,8_0214,0.2200104050694129,very_local,False,2_76,2_76,76,76,2,2,True,True,39.9303092956543,-104.79714,39.93177032470703,-104.7954,1,1
10_0111,10_0112,0.2193824005159051,very_local,False,3_113,3_113,113,113,3,3,True,True,38.77870178222656,-75.43858,38.776729583740234,-75.43865,2,2
6_0811,6_0812,0.2193656872324605,very_local,False,10_SS,10_SS,SS,SS,10,10,True,True,37.422481536865234,-120.76731,37.42362976074219,-120.76933,9,9
31_3023,31_B430,0.219035148501746,very_local,False,2_80,2_80,80,80,2,2,True,True,40.82326889038086,-98.35907,40.823699951171875,-98.35653,1,1
55_0218,55_0219,0.2190246046660534,very_local,False,4_29,4_29,29,29,4,4,True,True,44.8509407043457,-89.26737,44.85237121582031,-89.26928,14,14
39_A803,39_A804,0.2188742910331432,very_local,False,10_23,10_23,23,23,10,10,True,True,40.43006896972656,-83.07484,40.4281005859375,-83.07484,9,9
55_0259,55_0260,0.2184552483674475,very_local,False,4_29,4_29,29,29,4,4,True,True,44.8272705078125,-89.23811,44.8272590637207,-89.23534,14,14
53_0210,53_0211,0.2183223430657798,very_local,False,4_395,4_395,395,395,4,4,True,True,47.06129837036133,-118.41236,47.0631103515625,-118.41125,12,12
30_0121,30_0122,0.2180008155458695,very_local,False,2_15,2_15,15,15,2,2,True,True,47.40679168701172,-111.54244,47.40528869628906,-111.5443,1,1
22_0115,22_0117,0.2178223059977135,very_local,False,3_171,3_171,171,171,3,3,True,True,30.360410690307617,-93.20024,30.362369537353516,-93.20026,2,2
40_A320,40_A330,0.2177431585505341,very_local,False,3_62,3_62,62,62,3,3,True,True,34.637569427490234,-99.28348,34.63758087158203,-99.2811,2,2
37_0209,37_0210,0.2176479046748956,very_local,False,3_52,3_52,52,52,3,3,True,True,35.862510681152344,-80.26966,35.86069107055664,-80.27055,2,2
13_0505,13_0506,0.2171334910692751,very_local,False,2_401,2_401,401,401,2,2,True,True,34.1124382019043,-84.73279,34.11098098754883,-84.73122,1,1
48_A410,48_A420,0.2170622758152881,very_local,False,4_348,4_348,348,348,4,4,True,True,32.87784957885742,-96.93892,32.87882995605469,-96.94093,14,14
