source,target,distance_km,distance_bin,bbox_diagonal_km,src_snap_m,dst_snap_m,same_osm_edge,path_exists,osm_path_km,detour_ratio,topology_status,route_change_count_ref,route_change_count_name,unique_ref_count,unique_name_count,dominant_ref,dominant_name,src_ref,dst_ref,src_name,dst_name,endpoint_ref_overlap,endpoint_name_overlap,path_step_count,audit_verdict
53_1801,53_C350,0.4179700802969421,0-1 km,22.019963550777195,0.7210249542563204,2.2112564894279774,0.0,1,1.672463489894125,4.001395240314671,long_connected,0.0,0.0,1.0,1.0,wa 14,southeast lewis and clark highway,wa 14,wa 14,southeast lewis and clark highway,southeast lewis and clark highway,1.0,1.0,1.0,ambiguous_but_close
46_0660,46_0662,0.421176846802853,0-1 km,21.97612057974088,6.506696145561267,4.093486149656581,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,1.0,us 12,west highway 12,us 12,us 12,west highway 12,west highway 12,1.0,1.0,0.0,very_strong_local_neighbour
48_C410,48_C430,0.424364171384041,0-1 km,23.444424623252566,2.381184514294157,0.8099336780203389,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,3.0,1.0,us 183,us highway 287 east,us 183;us 287;us 70,us 183;us 287;us 70,us highway 287 east,us highway 287 east,1.0,1.0,0.0,very_strong_local_neighbour
8_0214,8_0216,0.4250327008949678,0-1 km,22.84349380062939,0.3438369908822799,0.1672452120735088,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,1.0,i 76,heartland expressway,i 76,i 76,heartland expressway,heartland expressway,1.0,1.0,0.0,very_strong_local_neighbour
20_4054,20_A430,0.4262090354727523,0-1 km,22.92168882684675,7.594193735780671,5.441704282636286,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,2.0,2.0,i 70,eisenhower presidential highway,i 70;us 40,i 70;us 40,eisenhower presidential highway;truman,eisenhower presidential highway;truman,1.0,1.0,0.0,very_strong_local_neighbour
37_A964,37_A965,0.4306582000872305,0-1 km,23.36752490381784,7.375358351494876,4.775520758437772,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,1.0,us 1,jefferson davis highway,us 1,us 1,jefferson davis highway,jefferson davis highway,1.0,1.0,0.0,very_strong_local_neighbour
48_A502,48_B350,0.4616226954850816,0-1 km,23.615445197074013,5.741511927957731,6.352537837905391,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,0.0,us 175,,us 175,us 175,,,1.0,0.0,0.0,very_strong_local_neighbour
20_0108,20_0110,0.4706821392643902,0-1 km,23.017380317197702,0.928017293188725,3.448367383454158,0.0,1,1.5832641005249688,3.3637649879797595,long_connected,0.0,0.0,1.0,1.0,us 54,cannonball stageline,us 400;us 54,us 400;us 54,cannonball stageline,cannonball stageline,1.0,1.0,1.0,ambiguous_but_close
39_0160,39_0208,0.4785913740319572,0-1 km,22.756637479498313,4.081735228172235,2.480964950062001,0.0,1,0.019218660449500623,0.040156721354149036,short_connected,0.0,0.0,0.0,0.0,,,us 23,us 23,,,1.0,0.0,1.0,strong_local_neighbour
49_D454,49_D459,0.4882254049984321,0-1 km,22.718789534607275,4.679426732329494,7.839945997714166,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,1.0,sr 154,bangerter highway,sr 154,sr 154,bangerter highway,bangerter highway,1.0,1.0,0.0,very_strong_local_neighbour
37_0208,37_0211,0.4960695512668445,0-1 km,23.390421217779394,1.6723607648133938,1.9922456858667907,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,2.0,0.0,i 285,,i 285;us 52,i 285;us 52,,,1.0,0.0,0.0,very_strong_local_neighbour
48_4142,48_E420,0.5149519549142276,0-1 km,23.824064811780246,5.340827687263097,3.429459899330663,0.0,1,0.7110720303010641,1.3808512105163346,short_connected,0.0,0.0,1.0,0.0,us 96,,us 96,us 96,,,1.0,0.0,1.0,strong_local_neighbour
19_0102,19_0103,0.5209653863044803,0-1 km,22.815459595124167,26.6729758037862,6.32146820378032,0.0,1,0.16726905198566758,0.3210751738655944,short_connected,0.0,0.0,1.0,1.0,us 61 business,354th avenue,,us 61 business,,354th avenue,0.0,0.0,1.0,strong_local_neighbour
12_B321,12_B360,0.5285614814343965,0-1 km,23.944859992357657,8.429984757358774,5.854900665743272,0.0,1,0.3820236570955666,0.7227610609438294,short_connected,2.0,1.0,2.0,2.0,us 17,artis road,us 17,us 17,,,1.0,0.0,4.0,strong_local_neighbour
4_0605,4_0662,0.5671255202629188,0-1 km,23.436657592420715,1.3465189502916113,2.855038536367034,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,2.0,1.0,i 40,purple heart trail,i 40;us 180,i 40;us 180,purple heart trail,purple heart trail,1.0,1.0,0.0,very_strong_local_neighbour
16_C320,16_C350,0.5774277604735789,0-1 km,22.510609468738508,2.47019850951591,1.8489952323179681,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,1.0,i 15,veterans memorial highway,i 15,i 15,veterans memorial highway,veterans memorial highway,1.0,1.0,0.0,very_strong_local_neighbour
4_7613,4_A456,0.579659769582048,0-1 km,23.58119859090257,0.05603203450258966,6.1135519420148645,0.0,1,1.4537571362739954,2.5079489944975784,supported_connected,0.0,0.0,1.0,1.0,az 87,south country club drive,us 60,us 60,superstition freeway,superstition freeway,1.0,1.0,5.0,plausible_local_neighbour
42_A310,42_A330,0.5896635666370442,0-1 km,22.839253467177738,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
37_0201,37_0259,0.6049953529296915,0-1 km,23.503479187602515,9.825543200945077,2.916205608853031,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,2.0,0.0,i 285,,i 285;us 52,i 285;us 52,,,1.0,0.0,0.0,very_strong_local_neighbour
49_D454,49_D460,0.6095394500287195,0-1 km,22.81657732161656,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
17_0601,17_0603,0.6112385279717395,0-1 km,22.907392195895905,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
16_A310,16_A320,0.6117663550826423,0-1 km,22.640425956558445,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
36_B310,36_B330,0.6134975250861415,0-1 km,22.39899804551078,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
48_A502,48_A503,0.6205451376655898,0-1 km,23.727613970419224,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
4_0117,4_0123,0.6241591961715147,0-1 km,23.569783623113636,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
8_0215,8_0216,0.6344366832604554,0-1 km,23.051944545878097,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
24_0509,24_0559,0.6381982246331042,0-1 km,23.060393340901737,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
55_A908,55_B909,0.6583737655311304,0-1 km,22.60649368659403,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
22_0116,22_0124,0.6728243124781071,0-1 km,24.019371205345646,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
10_0207,10_0210,0.6859106240891425,0-1 km,23.09759972819038,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
39_0111,39_0902,0.7007391180313619,0-1 km,22.92551875665852,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
12_A320,12_A351,0.7055050863723695,0-1 km,24.07619805109771,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
51_0123,51_0159,0.7325768165503034,0-1 km,23.389829988806824,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
38_0213,38_0215,0.7478734944021151,0-1 km,22.00708706305716,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
48_F320,48_F350,0.7639328891037477,0-1 km,23.91129180986475,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
20_0206,20_0212,0.7794989677423563,0-1 km,23.120942773872542,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
26_0608,26_0659,0.7835471915387625,0-1 km,22.435387332045018,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
46_0601,46_0605,0.7878053767526592,0-1 km,22.200420181769292,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
19_0108,19_0109,0.7918946001769136,0-1 km,23.09921556559359,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
49_A332,49_A390,0.8388176555325199,0-1 km,23.392171227753796,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
35_0108,35_0111,0.8768193862971044,0-1 km,23.87794907843826,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
6_0509,6_0571,0.9046632261706684,0-1 km,23.73648714962686,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
23_0503,23_0507,0.9075613084080684,0-1 km,22.589440184511194,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
31_0113,31_0120,0.9607868810136796,0-1 km,23.18076847248275,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
48_0121,48_0162,0.9739763549487094,0-1 km,24.68502792993127,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
48_3559,48_I340,1.0303877188186792,1-5 km,24.289207115462286,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
13_0563,13_0564,1.050691171737993,1-5 km,24.003524301418004,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
29_A605,29_A606,1.051292671171456,1-5 km,23.546097818812978,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
30_0113,30_0114,1.0630960040239088,1-5 km,22.542740483728853,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
17_0604,17_0663,1.0897068638412557,1-5 km,23.292343867946354,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
27_0705,27_0709,1.0944639299349257,1-5 km,22.646389182088896,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
40_AA61,40_AA63,1.1549957343157926,1-5 km,23.689318277970234,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
24_0559,24_0561,1.1554923088598916,1-5 km,23.523752873730558,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
29_B340,29_B351,1.156456471338065,1-5 km,23.72102172644024,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
56_B310,56_B360,1.168427108018673,1-5 km,23.20173189352023,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
12_0504,12_0563,1.1944742368629977,1-5 km,24.945947430191474,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
4_0214,4_0216,1.1989760804081382,1-5 km,24.161288099805247,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
40_C310,40_C350,1.2287530204386314,1-5 km,23.599850975901543,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
6_0661,6_0662,1.231519035780292,1-5 km,23.477244689286454,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
18_A901,18_A959,1.2419567164854917,1-5 km,23.22679841045802,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
32_0101,32_0108,1.2850829626111593,1-5 km,23.603716215818377,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
24_0502,24_0508,1.288383954785772,1-5 km,23.775563357114503,,,,0,,,fetch_or_match_failed,,,,,,,,,,,,,,needs_manual_map_check
