treated_node_id,control_node_id,state_code,functional_class,treated_cracking_change,control_cracking_change,treated_traffic_change,control_traffic_change,treated_esal_change,control_esal_change
48_1130,48_1050,48,6.0,-21.0,5.0,12.0,,48.0,
13_4420,13_3020,13,2.0,-41.0,-4.0,42.0,30.0,36836.0,27598.0
53_6048,53_3013,53,2.0,0.0,,315.0,-27.0,47029.0,-4533.0
37_2819,37_5827,37,2.0,-1.0,1.0,34.0,-58.0,6577.0,-22683.0
17_5217,17_5849,17,1.0,,,73.0,748.0,41840.0,393636.0
48_1116,48_3855,48,2.0,10.0,-22.0,162.0,-124.0,61533.0,-21312.0
47_2001,47_6022,47,2.0,-1.0,,39.0,-28.0,20000.0,-128861.0
6_8534,6_A441,6,1.0,0.0,0.0,203.0,79.0,51866.0,-95640.0
41_7018,41_5006,41,1.0,,,1101.0,209.0,416865.0,-775082.0
48_3875,48_1092,48,2.0,1.0,11.0,-14.0,52.0,-4715.0,15000.0
49_7086,49_D445,49,14.0,0.0,0.0,1124.0,-470.0,163439.0,-106088.0
49_7085,49_1008,49,2.0,-26.0,-10.0,763.0,-130.0,345874.0,-49088.0
6_8535,6_A441,6,1.0,0.0,0.0,186.0,79.0,11118.0,-95640.0
18_A410,18_1037,18,6.0,,4.0,42.0,-92.0,-5190.0,-16118.0
21_A410,21_4025,21,1.0,0.0,,242.0,209.0,-10371.0,-455540.0
29_B430,29_AA02,29,2.0,0.0,0.0,192.0,193.0,168000.0,
39_A410,39_4031,39,11.0,0.0,4.0,20.0,290.0,328440.0,25348.0
29_A411,29_7054,29,1.0,-12.0,0.0,37.0,172.0,-92000.0,96682.0
29_A430,29_7054,29,1.0,-33.0,0.0,37.0,172.0,-92000.0,96682.0
29_A410,29_7054,29,1.0,-28.0,0.0,516.0,172.0,638295.0,96682.0
17_5151,17_5849,17,1.0,,,56.0,748.0,33000.0,393636.0
42_1691,42_1599,42,14.0,,-17.0,425.0,7.0,140000.0,29000.0
51_1417,51_1419,51,2.0,-35.0,2.0,-294.0,-31.0,-212142.0,-7055.0
49_B310,49_1001,49,6.0,3.0,-10.0,-6.0,-3.0,-1681.0,-1767.0
49_B330,49_1004,49,6.0,15.0,,-6.0,25.0,-1747.0,5669.0
49_B350,49_1004,49,6.0,0.0,,-6.0,25.0,-1725.0,5669.0
49_B351,49_1004,49,6.0,18.0,,-6.0,25.0,-1725.0,5669.0
49_B390,49_1001,49,6.0,1.0,-10.0,-6.0,-3.0,-1706.0,-1767.0
49_C310,49_7085,49,2.0,0.0,5.0,80.0,454.0,75159.0,243043.0
6_A310,6_2002,6,2.0,0.0,0.0,24.0,-38.0,2408.0,78271.0
6_A311,6_2002,6,2.0,0.0,0.0,24.0,-38.0,2379.0,78271.0
6_A320,6_2040,6,2.0,11.0,-19.0,24.0,10.0,2476.0,-20498.0
6_A321,6_A353,6,2.0,-4.0,-26.0,24.0,24.0,2431.0,2431.0
6_A330,6_2038,6,2.0,0.0,-3.0,24.0,11.0,2450.0,
6_A350,6_2038,6,2.0,4.0,-5.0,24.0,152.0,2450.0,
6_A351,6_A353,6,2.0,3.0,-26.0,24.0,24.0,2431.0,2431.0
6_A352,6_2038,6,2.0,2.0,-5.0,24.0,152.0,2431.0,
6_A353,6_A351,6,2.0,-26.0,3.0,24.0,24.0,2431.0,2431.0
6_A361,6_A350,6,2.0,2.0,4.0,24.0,24.0,2379.0,2450.0
6_A362,6_A350,6,2.0,0.0,4.0,24.0,24.0,2382.0,2450.0
6_A363,6_2038,6,2.0,5.0,-3.0,24.0,11.0,2431.0,
19_9116,19_5042,19,1.0,,0.0,153.0,90.0,114895.0,131000.0
53_1006,53_7322,53,2.0,5.0,-30.0,-57.0,-59.0,-6450.0,-21110.0
6_3005,6_B441,6,1.0,-18.0,,219.0,325.0,177117.0,182096.0
42_A410,42_3044,42,1.0,10.0,0.0,-139.0,512.0,-30088.0,-541061.0
