broad_treatment_group,count,breakdown,treatment_label,event_year,state_name,functional_class
asphalt_overlay,3,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Longitudinal Subdrains, Full Depth Transverse Joint Repair Patch, Joint Load Transfer Restoration in PCC Pavements",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Longitudinal Subdrains, Full Depth Transverse Joint Repair Patch, Partial depth patching of PCC pavements at joints",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Longitudinal Subdrains, Joint Load Transfer Restoration in PCC Pavements, Partial depth patching of PCC pavements at joints, PCC Slab Replacement",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Machine Premix Patch (placing premix with paver roller)",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Manual Premix Spot Patch (hand spreading and compacting with roller)",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Mill Existing Pavement and Overlay with Cold-Mix Recycled AC",,,
asphalt_overlay,11,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",,,
asphalt_overlay,22,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Mill Off AC and Overlay with AC",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Other",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Partial Depth Patching of PCC Pavement Other Than at Joint",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Portland Cement Concrete Overlay",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Portland Cement Concrete Overlay, Longitudinal Subdrains, Fracture Treatment of PCC Pavement as Base for New AC Surface",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Slurry Seal Coat",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Strip Patching (using spreader and distributor to apply hot liquid asphalt and aggregate)",,,
asphalt_overlay,3,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Strip Patching (using spreader and distributor to apply hot liquid asphalt and aggregate), Hot-Mix Recycled Asphalt Concrete Overlay",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Strip Patching (using spreader and distributor to apply hot liquid asphalt and aggregate), Surface Treatment, Single Layer",,,
asphalt_overlay,5,broad_treatment_group + treatment_label,"Asphalt Concrete Overlay, Surface Treatment, Single Layer",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Fracture Treatment of PCC Pavement as Base for New AC Surface, Mill Off AC and Overlay with AC",,,
asphalt_overlay,3,broad_treatment_group + treatment_label,"Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing), Mill Off AC and Overlay with AC",,,
asphalt_overlay,5,broad_treatment_group + treatment_label,"Grinding Surface, Asphalt Concrete Overlay",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Grinding Surface, Asphalt Concrete Overlay, Aggregate Seal Coat",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Grinding Surface, Asphalt Concrete Overlay, Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing)",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Grinding Surface, Asphalt Concrete Overlay, Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing), Aggregate Seal Coat",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Grinding Surface, Hot-Mix Recycled Asphalt Concrete Overlay, Heater Scarification, Surface Recycled Asphalt Concrete",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"Grinding Surface, Portland Cement Concrete Overlay, Full Depth Patching of PCC Pavement Other Than at Joint, PCC Shoulder Restoration",,,
asphalt_overlay,4,broad_treatment_group + treatment_label,"Grinding Surface, Portland Cement Concrete Overlay, Longitudinal Subdrains",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"Grinding Surface, Portland Cement Concrete Overlay, PCC Shoulder Restoration",,,
asphalt_overlay,20,broad_treatment_group + treatment_label,Hot-Mix Recycled Asphalt Concrete Overlay,,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Hot-Mix Recycled Asphalt Concrete Overlay, Full Depth Patching of PCC Pavement Other Than at Joint, Partial depth patching of PCC pavements at joints",,,
asphalt_overlay,6,broad_treatment_group + treatment_label,"Hot-Mix Recycled Asphalt Concrete Overlay, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Hot-Mix Recycled Asphalt Concrete Overlay, Mill Off AC and Overlay with AC",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Hot-Mix Recycled Asphalt Concrete Overlay, Partial Depth Patching of PCC Pavement Other Than at Joint",,,
asphalt_overlay,5,broad_treatment_group + treatment_label,Mill Existing Pavement and Overlay with Cold-Mix Recycled AC,,,
asphalt_overlay,74,broad_treatment_group + treatment_label,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,,,
asphalt_overlay,8,broad_treatment_group + treatment_label,"Mill Existing Pavement and Overlay with Hot-Mix Recycled AC, Warm Mix AC Overlay with RAP and/or RAS",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,Mill Existing Pavement and Overlay with Warm Mix AC,,,
asphalt_overlay,26,broad_treatment_group + treatment_label,Mill Existing Pavement and Overlay with Warm Mix Recycled AC,,,
asphalt_overlay,164,broad_treatment_group + treatment_label,Mill Off AC and Overlay with AC,,,
asphalt_overlay,4,broad_treatment_group + treatment_label,"Other, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"Other, Mill Existing Pavement and Overlay with Warm Mix Recycled AC",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Portland Cement Concrete Overlay, Fracture Treatment of PCC Pavement as Base for New PCC Surface",,,
asphalt_overlay,5,broad_treatment_group + treatment_label,"Portland Cement Concrete Overlay, Longitudinal Subdrains",,,
asphalt_overlay,4,broad_treatment_group + treatment_label,"Portland Cement Concrete Overlay, PCC Shoulder Restoration",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Pressure Grout Subsealing, Asphalt Concrete Overlay, Longitudinal Subdrains, Full Depth Transverse Joint Repair Patch",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Sand Seal Coat, Mill Off AC and Overlay with AC",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Surface Treatment, Single Layer, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"Transverse Subdrainage, Full Depth Transverse Joint Repair Patch, Hot-Mix Recycled Asphalt Concrete Overlay, Full Depth Patching of PCC Pavement Other Than at Joint, Partial Depth Patching of PCC Pavement Other Than at Joint",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,Warm Mix AC Overlay with RAP and/or RAS,,,
